ko00010	Glycolysis / Gluconeogenesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00020	Citrate cycle (TCA cycle)	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00030	Pentose phosphate pathway	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00040	Pentose and glucuronate interconversions	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00051	Fructose and mannose metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00052	Galactose metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00053	Ascorbate and aldarate metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00061	Fatty acid biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00062	Fatty acid elongation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00071	Fatty acid degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00073	Cutin, suberine and wax biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00074	Mycolic acid biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00100	Steroid biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00120	Primary bile acid biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00121	Secondary bile acid biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00130	Ubiquinone and other terpenoid-quinone biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00140	Steroid hormone biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00190	Oxidative phosphorylation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00194	Photosynthesis proteins	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00195	Photosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00196	Photosynthesis - antenna proteins	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00199	Cytochrome P450	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00220	Arginine biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00230	Purine metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00232	Caffeine metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00240	Pyrimidine metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00250	Alanine, aspartate and glutamate metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00253	Tetracycline biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00254	Aflatoxin biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00260	Glycine, serine and threonine metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00261	Monobactam biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00270	Cysteine and methionine metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00280	Valine, leucine and isoleucine degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00290	Valine, leucine and isoleucine biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00300	Lysine biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00310	Lysine degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00311	Penicillin and cephalosporin biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00330	Arginine and proline metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00331	Clavulanic acid biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00332	Carbapenem biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00333	Prodigiosin biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00340	Histidine metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00350	Tyrosine metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00360	Phenylalanine metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00361	Chlorocyclohexane and chlorobenzene degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00362	Benzoate degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00363	Bisphenol degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00364	Fluorobenzoate degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00365	Furfural degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00380	Tryptophan metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00400	Phenylalanine, tyrosine and tryptophan biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00401	Novobiocin biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00402	Benzoxazinoid biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00403	Indole diterpene alkaloid biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00404	Staurosporine biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00405	Phenazine biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00410	beta-Alanine metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00430	Taurine and hypotaurine metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00440	Phosphonate and phosphinate metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00450	Selenocompound metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00460	Cyanoamino acid metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00470	D-Amino acid metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00480	Glutathione metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00500	Starch and sucrose metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00510	N-Glycan biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00511	Other glycan degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00512	Mucin type O-glycan biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00513	Various types of N-glycan biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00514	Other types of O-glycan biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00515	Mannose type O-glycan biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00520	Amino sugar and nucleotide sugar metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00521	Streptomycin biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00522	Biosynthesis of 12-, 14- and 16-membered macrolides	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00523	Polyketide sugar unit biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00524	Neomycin, kanamycin and gentamicin biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00525	Acarbose and validamycin biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00531	Glycosaminoglycan degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00532	Glycosaminoglycan biosynthesis - chondroitin sulfate / dermatan sulfate	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00533	Glycosaminoglycan biosynthesis - keratan sulfate	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00534	Glycosaminoglycan biosynthesis - heparan sulfate / heparin	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00535	Proteoglycans	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00536	Glycosaminoglycan binding proteins	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00537	Glycosylphosphatidylinositol (GPI)-anchored proteins	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00540	Lipopolysaccharide biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00541	Biosynthesis of various nucleotide sugars	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00542	O-Antigen repeat unit biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00543	Exopolysaccharide biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00550	Peptidoglycan biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00552	Teichoic acid biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00561	Glycerolipid metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00562	Inositol phosphate metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00563	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00564	Glycerophospholipid metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00565	Ether lipid metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00571	Lipoarabinomannan (LAM) biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00572	Arabinogalactan biosynthesis - Mycobacterium	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00590	Arachidonic acid metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00591	Linoleic acid metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00592	alpha-Linolenic acid metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00600	Sphingolipid metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00601	Glycosphingolipid biosynthesis - lacto and neolacto series	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00603	Glycosphingolipid biosynthesis - globo and isoglobo series	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00604	Glycosphingolipid biosynthesis - ganglio series	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00620	Pyruvate metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00621	Dioxin degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00622	Xylene degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00623	Toluene degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00624	Polycyclic aromatic hydrocarbon degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00625	Chloroalkane and chloroalkene degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00626	Naphthalene degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00627	Aminobenzoate degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00630	Glyoxylate and dicarboxylate metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00633	Nitrotoluene degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00640	Propanoate metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00642	Ethylbenzene degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00643	Styrene degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00650	Butanoate metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00660	C5-Branched dibasic acid metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00670	One carbon pool by folate	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00680	Methane metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00710	Carbon fixation by Calvin cycle	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00720	Other carbon fixation pathways	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00730	Thiamine metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00740	Riboflavin metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00750	Vitamin B6 metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00760	Nicotinate and nicotinamide metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00770	Pantothenate and CoA biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00780	Biotin metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00785	Lipoic acid metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00790	Folate biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00791	Atrazine degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00830	Retinol metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00860	Porphyrin metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00900	Terpenoid backbone biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00901	Indole alkaloid biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00902	Monoterpenoid biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00903	Limonene degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00904	Diterpenoid biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00905	Brassinosteroid biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00906	Carotenoid biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00907	Pinene, camphor and geraniol degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00908	Zeatin biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00909	Sesquiterpenoid and triterpenoid biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00910	Nitrogen metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00920	Sulfur metabolism	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00930	Caprolactam degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00940	Phenylpropanoid biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00941	Flavonoid biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00942	Anthocyanin biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00943	Isoflavonoid biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00944	Flavone and flavonol biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00945	Stilbenoid, diarylheptanoid and gingerol biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00946	Degradation of flavonoids	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00950	Isoquinoline alkaloid biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00960	Tropane, piperidine and pyridine alkaloid biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00965	Betalain biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00966	Glucosinolate biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00970	Aminoacyl-tRNA biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00980	Metabolism of xenobiotics by cytochrome P450	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00981	Insect hormone biosynthesis	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00982	Drug metabolism - cytochrome P450	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00983	Drug metabolism - other enzymes	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00984	Steroid degradation	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00996	Biosynthesis of various alkaloids	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00997	Biosynthesis of various other secondary metabolites	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00998	Biosynthesis of various antibiotics	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko00999	Biosynthesis of various plant secondary metabolites	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko01001	Protein kinases	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko01002	Peptidases and inhibitors	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko01003	Glycosyltransferases	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko01004	Lipid biosynthesis proteins	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko01005	Lipopolysaccharide biosynthesis proteins	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko01006	Prenyltransferases	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko01007	Amino acid related enzymes	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko01008	Polyketide biosynthesis proteins	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko01009	Protein phosphatases and associated proteins	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko01011	Peptidoglycan biosynthesis and degradation proteins	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko01040	Biosynthesis of unsaturated fatty acids	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
ko01051	Biosynthesis of ansamycins	2022-12-26 00:00:00.000000	2022-12-26 00:00:00.000000
